"Rociletinib(625mg)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","6.47 (2.36 to  17.68)",".",".",".",".",".",".",".",".",".","."
"1.23 (0.36 to    4.18)","Antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".","5.75 (0.94 to  35.22)","5.27 (2.49 to  11.15)",".",".",".",".",".",".",".",".",".","."
"6.29 (1.16 to   34.11)","5.13 (1.11 to   23.67)","4.11 (0.90 to   18.83)","3.20 (0.43 to   23.67)","2.72 (0.36 to   20.50)","2.18 (0.52 to    9.22)","2.95 (0.09 to   96.68)","2.87 (0.09 to   94.65)","1.74 (0.36 to    8.34)","1.40 (0.35 to    5.57)","1.62 (0.23 to   11.57)","1.23 (0.28 to    5.48)","1.12 (0.27 to    4.55)","1.10 (0.25 to    4.85)","2nd-generation EGFR TKIs + HMGCR inhibitor",".",".",".",".",".",".","1.35 (0.37 to   4.98)",".",".",".",".","."
"6.37 (2.22 to   18.25)","5.19 (2.45 to   10.99)","4.16 (1.95 to    8.90)","3.23 (0.72 to   14.55)","2.75 (0.60 to   12.67)","2.21 (1.24 to    3.95)","2.99 (0.12 to   75.42)","2.90 (0.11 to   73.87)","1.76 (0.75 to    4.12)","1.42 (0.95 to    2.12)","1.64 (0.38 to    7.02)","1.25 (0.63 to    2.49)","1.13 (0.68 to    1.86)","1.12 (0.57 to    2.18)","1.01 (0.25 to    4.08)","1st-generation EGFR TKIs + antiangiogenesis","1.03 (0.75 to   1.41)",".",".",".",".",".",".",".",".",".","."
"6.47 (2.36 to   17.68)","5.28 (2.62 to   10.63)","4.23 (2.11 to    8.46)","3.28 (0.75 to   14.30)","2.79 (0.63 to   12.46)","2.24 (1.37 to    3.67)","3.03 (0.12 to   75.44)","2.95 (0.12 to   73.90)","1.79 (0.81 to    3.94)","1.44 (1.12 to    1.86)","1.67 (0.40 to    6.90)","1.27 (0.69 to    2.35)","1.15 (0.78 to    1.69)","1.13 (0.63 to    2.04)","1.03 (0.26 to    4.00)","1.02 (0.74 to    1.39)","1st-generation EGFR TKIs","1.11 (0.61 to   2.00)","1.25 (0.30 to   5.18)","1.14 (0.63 to   2.06)",".","1.22 (0.80 to   1.86)",".","3.11 (0.12 to  78.18)","1.25 (0.66 to   2.37)","9.00 (0.27 to 299.86)","."
"7.16 (2.22 to   23.01)","5.84 (2.33 to   14.63)","4.68 (1.88 to   11.66)","3.63 (0.74 to   17.76)","3.09 (0.62 to   15.45)","2.48 (1.15 to    5.37)","3.36 (0.13 to   88.17)","3.26 (0.12 to   86.35)","1.98 (0.73 to    5.32)","1.60 (0.84 to    3.05)","1.84 (0.40 to    8.60)","1.40 (0.60 to    3.30)","1.27 (0.62 to    2.58)","1.25 (0.54 to    2.90)","1.14 (0.26 to    5.01)","1.12 (0.57 to    2.20)","1.11 (0.61 to    2.00)","1st-generation EGFR TKIs + MET inhibitor",".",".",".",".",".",".",".",".","."
"8.06 (1.41 to   46.11)","6.57 (1.34 to   32.18)","5.27 (1.08 to   25.70)","4.09 (0.53 to   31.73)","3.48 (0.44 to   27.47)","2.80 (0.62 to   12.62)","3.78 (0.11 to  127.14)","3.67 (0.11 to  124.45)","2.23 (0.44 to   11.37)","1.80 (0.42 to    7.65)","2.08 (0.28 to   15.53)","1.58 (0.33 to    7.47)","1.43 (0.33 to    6.26)","1.41 (0.30 to    6.60)","1.28 (0.18 to    9.17)","1.27 (0.29 to    5.44)","1.25 (0.30 to    5.18)","1.13 (0.24 to    5.27)","DHFR inhibitor",".",".",".",".",".",".",".","."
"7.38 (2.30 to   23.72)","6.02 (2.41 to   15.08)","4.83 (1.94 to   12.01)","3.75 (0.77 to   18.31)","3.19 (0.64 to   15.93)","2.56 (1.19 to    5.53)","3.46 (0.13 to   90.93)","3.36 (0.13 to   89.06)","2.04 (0.76 to    5.48)","1.65 (0.87 to    3.14)","1.90 (0.41 to    8.86)","1.45 (0.62 to    3.40)","1.31 (0.64 to    2.66)","1.29 (0.56 to    2.98)","1.17 (0.27 to    5.16)","1.16 (0.59 to    2.26)","1.14 (0.63 to    2.06)","1.03 (0.45 to    2.39)","0.92 (0.20 to    4.29)","1st-generation EGFR TKIs + IGF-1R inhibitor",".",".",".",".",".",".","."
"8.26 (2.06 to   33.09)","6.74 (2.06 to   22.05)","5.40 (1.67 to   17.50)","4.20 (0.73 to   24.25)","3.57 (0.61 to   21.06)","2.87 (0.99 to    8.35)","3.88 (0.14 to  110.81)","3.77 (0.13 to  108.51)","2.28 (0.66 to    7.86)","1.84 (0.69 to    4.92)","2.13 (0.38 to   11.79)","1.62 (0.52 to    5.05)","1.46 (0.53 to    4.07)","1.45 (0.47 to    4.45)","1.31 (0.27 to    6.34)","1.30 (0.48 to    3.55)","1.28 (0.49 to    3.32)","1.15 (0.38 to    3.56)","1.03 (0.18 to    5.70)","1.12 (0.36 to    3.44)","2nd-generation EGFR TKIs + Cetuximab","1.03 (0.43 to   2.47)",".",".",".",".","."
"8.49 (2.90 to   24.84)","6.93 (3.13 to   15.33)","5.55 (2.55 to   12.11)","4.31 (0.95 to   19.68)","3.67 (0.78 to   17.14)","2.95 (1.61 to    5.41)","3.98 (0.16 to  101.27)","3.87 (0.15 to   99.19)","2.35 (0.98 to    5.60)","1.89 (1.22 to    2.94)","2.19 (0.50 to    9.51)","1.67 (0.81 to    3.42)","1.51 (0.89 to    2.54)","1.49 (0.74 to    2.99)","1.35 (0.37 to    4.98)","1.33 (0.82 to    2.17)","1.31 (0.90 to    1.91)","1.19 (0.59 to    2.39)","1.05 (0.24 to    4.60)","1.15 (0.57 to    2.32)","1.03 (0.43 to    2.47)","2nd-generation EGFR TKIs",".",".","1.02 (0.43 to   2.40)",".","."
"18.07 (0.67 to  487.09)","14.75 (0.59 to  366.89)","11.82 (0.49 to  287.66)","9.18 (0.29 to  293.37)","7.81 (0.24 to  252.15)","6.27 (0.27 to  147.03)","8.48 (0.10 to  756.22)","8.24 (0.09 to  739.05)","4.99 (0.20 to  124.35)","4.03 (0.18 to   91.91)","4.65 (0.15 to  145.68)","3.55 (0.15 to   86.68)","3.20 (0.14 to   75.44)","3.17 (0.13 to   77.08)","2.87 (0.09 to   87.49)","2.84 (0.12 to   66.40)","2.80 (0.12 to   64.37)","2.53 (0.10 to   61.50)","2.24 (0.07 to   70.33)","2.45 (0.10 to   59.58)","2.19 (0.08 to   57.95)","2.13 (0.09 to   50.01)","3rd-generation EGFR TKIs + PD-L1 inhibitor",".",".",".","."
"20.13 (0.69 to  589.19)","16.43 (0.61 to  444.68)","13.17 (0.49 to  355.77)","10.23 (0.30 to  353.47)","8.70 (0.25 to  303.73)","6.99 (0.27 to  182.06)","9.45 (0.10 to  895.22)","9.18 (0.10 to  874.82)","5.56 (0.20 to  153.68)","4.49 (0.18 to  113.91)","5.19 (0.15 to  175.61)","3.95 (0.15 to  105.13)","3.57 (0.14 to   91.71)","3.53 (0.13 to   93.48)","3.20 (0.10 to  105.71)","3.16 (0.12 to   80.61)","3.11 (0.12 to   78.18)","2.81 (0.11 to   74.58)","2.50 (0.07 to   84.77)","2.73 (0.10 to   72.25)","2.44 (0.08 to   70.25)","2.37 (0.09 to   60.82)","1.11 (0.01 to  100.04)","1st-generation EGFR TKIs + COX2 inhibitor",".",".","."
"9.79 (3.32 to   28.89)","7.99 (3.56 to   17.89)","6.40 (2.99 to   13.69)","4.97 (1.08 to   22.83)","4.23 (0.90 to   19.88)","3.40 (1.90 to    6.08)","4.59 (0.18 to  117.06)","4.46 (0.17 to  114.66)","2.70 (1.15 to    6.34)","2.18 (1.46 to    3.27)","2.52 (0.58 to   11.03)","1.92 (0.92 to    4.00)","1.73 (1.00 to    3.01)","1.72 (0.84 to    3.50)","1.56 (0.39 to    6.28)","1.54 (0.93 to    2.55)","1.51 (1.01 to    2.26)","1.37 (0.67 to    2.80)","1.21 (0.28 to    5.34)","1.33 (0.65 to    2.71)","1.18 (0.43 to    3.24)","1.15 (0.71 to    1.88)","0.54 (0.02 to   12.67)","0.49 (0.02 to   12.51)","Placebo",".","."
"58.19 (1.52 to 2233.24)","47.48 (1.33 to 1695.49)","38.05 (1.07 to 1356.68)","29.55 (0.66 to 1323.97)","25.13 (0.56 to 1136.87)","20.20 (0.59 to  696.26)","27.30 (0.23 to 3174.73)","26.52 (0.23 to 3101.61)","16.07 (0.44 to  585.02)","12.98 (0.39 to  436.57)","14.99 (0.34 to  658.69)","11.42 (0.32 to  401.39)","10.31 (0.30 to  351.11)","10.20 (0.29 to  357.04)","9.25 (0.22 to  397.20)","9.14 (0.27 to  308.80)","9.00 (0.27 to  299.86)","8.13 (0.23 to  284.82)","7.22 (0.16 to  317.94)","7.88 (0.23 to  275.96)","7.04 (0.19 to  266.56)","6.85 (0.20 to  232.87)","3.22 (0.03 to  355.59)","2.89 (0.02 to  338.19)","5.95 (0.17 to  202.65)","1st-generation EGFR TKIs + HGF inhibitor","."
"52.18 (2.37 to 1150.22)","42.57 (2.10 to  861.75)","34.12 (1.73 to  674.65)","26.50 (1.00 to  700.08)","22.54 (0.84 to  602.08)","18.11 (0.95 to  343.90)","24.48 (0.32 to 1888.09)","23.78 (0.31 to 1845.57)","14.41 (0.71 to  292.09)","11.64 (0.63 to  214.54)","13.44 (0.52 to  347.22)","10.24 (0.52 to  203.35)","9.25 (0.48 to  176.52)","9.15 (0.46 to  180.78)","8.29 (0.33 to  208.20)","8.20 (0.43 to  155.28)","8.07 (0.43 to  150.37)","7.29 (0.37 to  144.23)","6.48 (0.25 to  167.64)","7.07 (0.36 to  139.73)","6.31 (0.29 to  136.69)","6.14 (0.32 to  117.00)","2.89 (0.04 to  207.28)","2.59 (0.03 to  201.25)","5.33 (0.28 to  101.01)","0.90 (0.01 to   86.22)","Chemotherapy + antiangiogenesis"
