"Dacomitinib","0.41 (0.12 to 1.42)",".",".",".",".",".","."
"0.41 (0.12 to  1.42)","Placebo","1.03 (0.31 to 3.39)",".","0.82 (0.35 to 1.92)",".","0.72 (0.34 to 1.54)","0.44 (0.14 to 1.42)"
"0.42 (0.07 to  2.35)","1.03 (0.31 to  3.39)","Gefitinib",".",".",".",".","."
"0.38 (0.07 to  2.21)","0.94 (0.27 to  3.22)","0.92 (0.16 to  5.10)","Erlotinib + Onartuzumab",".",".","0.77 (0.29 to 2.04)","."
"0.33 (0.07 to  1.51)","0.82 (0.35 to  1.92)","0.80 (0.18 to  3.47)","0.87 (0.20 to  3.89)","Osimertinib",".",".","."
"0.31 (0.06 to  1.64)","0.78 (0.26 to  2.28)","0.76 (0.15 to  3.78)","0.83 (0.24 to  2.86)","0.95 (0.24 to  3.73)","Erlotinib + Tivantinib","0.93 (0.43 to 2.01)","."
"0.29 (0.07 to  1.27)","0.72 (0.34 to  1.54)","0.71 (0.17 to  2.90)","0.77 (0.29 to  2.04)","0.88 (0.28 to  2.74)","0.93 (0.43 to  2.01)","Erlotinib","."
"0.18 (0.03 to  0.99)","0.44 (0.14 to  1.42)","0.43 (0.08 to  2.29)","0.47 (0.09 to  2.56)","0.54 (0.13 to  2.28)","0.57 (0.12 to  2.79)","0.61 (0.15 to  2.45)","Afatinib"
