"Afatinib",".",".",".",".",".","2.27 (0.70 to 7.34)","."
"1.64 (0.41 to  6.62)","Erlotinib","1.07 (0.50 to 2.32)",".","1.30 (0.49 to 3.44)",".","1.38 (0.65 to 2.93)","."
"1.76 (0.36 to  8.66)","1.07 (0.50 to  2.32)","Erlotinib + Tivantinib",".",".",".",".","."
"1.86 (0.44 to  7.92)","1.13 (0.36 to  3.52)","1.06 (0.27 to  4.16)","Osimertinib",".",".","1.22 (0.52 to 2.85)","."
"2.13 (0.39 to 11.69)","1.30 (0.49 to  3.44)","1.21 (0.35 to  4.19)","1.15 (0.26 to  5.11)","Erlotinib + Onartuzumab",".",".","."
"2.33 (0.44 to 12.42)","1.42 (0.34 to  5.81)","1.32 (0.26 to  6.60)","1.25 (0.29 to  5.41)","1.09 (0.20 to  6.06)","Gefitinib","0.98 (0.30 to 3.22)","."
"2.27 (0.70 to  7.34)","1.38 (0.65 to  2.93)","1.29 (0.44 to  3.78)","1.22 (0.52 to  2.85)","1.06 (0.31 to  3.64)","0.98 (0.30 to  3.22)","Placebo","2.47 (0.70 to 8.66)"
"5.60 (1.01 to 31.23)","3.41 (0.79 to 14.74)","3.18 (0.61 to 16.62)","3.01 (0.66 to 13.70)","2.62 (0.45 to 15.23)","2.41 (0.43 to 13.63)","2.47 (0.70 to  8.66)","Dacomitinib"
