"Osimertinib",".",".",".",".",".","2.65 (1.53 to 4.58)","."
"1.17 (0.32 to  4.25)","Afatinib",".",".",".",".","2.27 (0.70 to 7.34)","."
"1.92 (0.76 to  4.86)","1.64 (0.41 to  6.62)","Erlotinib","1.01 (0.48 to 2.13)","1.30 (0.49 to 3.44)",".","1.38 (0.65 to 2.93)","."
"1.93 (0.58 to  6.37)","1.65 (0.34 to  8.05)","1.01 (0.48 to  2.13)","Erlotinib + Tivantinib",".",".",".","."
"2.49 (0.65 to  9.57)","2.13 (0.39 to 11.69)","1.30 (0.49 to  3.44)","1.29 (0.38 to  4.41)","Erlotinib + Onartuzumab",".",".","."
"2.71 (0.73 to 10.10)","2.33 (0.44 to 12.42)","1.42 (0.34 to  5.81)","1.41 (0.28 to  6.96)","1.09 (0.20 to  6.06)","Gefitinib","0.98 (0.30 to 3.22)","."
"2.65 (1.53 to  4.58)","2.27 (0.70 to  7.34)","1.38 (0.65 to  2.93)","1.37 (0.47 to  3.97)","1.06 (0.31 to  3.64)","0.98 (0.30 to  3.22)","Placebo","2.47 (0.70 to 8.66)"
"6.53 (1.66 to 25.69)","5.60 (1.01 to 31.23)","3.41 (0.79 to 14.74)","3.39 (0.65 to 17.54)","2.62 (0.45 to 15.23)","2.41 (0.43 to 13.63)","2.47 (0.70 to  8.66)","Dacomitinib"
