"Erlotinib + Teprotumumab",".",".",".",".",".",".",".","9.81 (0.56 to 171.66)"
"2.16 (0.09 to  52.88)","Afatinib",".",".",".",".",".","3.19 (0.83 to  12.29)","."
"3.63 (0.20 to  67.61)","1.68 (0.36 to   7.93)","Erlotinib + Figitumumab",".",".",".",".",".","2.70 (1.49 to   4.91)"
"3.21 (0.04 to 236.85)","1.49 (0.04 to  50.01)","0.88 (0.03 to  23.16)","Erlotinib + Linsitinib",".",".",".",".","3.06 (0.12 to  76.02)"
"4.66 (0.20 to 106.18)","2.16 (0.36 to  12.80)","1.28 (0.32 to   5.16)","1.45 (0.05 to  45.78)","Gefitinib",".",".","1.48 (0.46 to   4.73)","."
"6.02 (0.28 to 130.24)","2.79 (0.52 to  15.07)","1.66 (0.46 to   5.91)","1.88 (0.06 to  56.44)","1.29 (0.28 to   6.05)","Dacomitinib",".","1.14 (0.41 to   3.16)","."
"6.78 (0.32 to 145.98)","3.15 (0.59 to  16.82)","1.87 (0.53 to   6.57)","2.12 (0.07 to  63.29)","1.46 (0.31 to   6.74)","1.13 (0.27 to   4.68)","Osimertinib","1.02 (0.37 to   2.76)","."
"6.89 (0.38 to 125.50)","3.19 (0.83 to  12.29)","1.90 (0.88 to   4.08)","2.15 (0.08 to  55.34)","1.48 (0.46 to   4.73)","1.14 (0.41 to   3.16)","1.02 (0.37 to   2.76)","Placebo","1.42 (0.88 to   2.30)"
"9.81 (0.56 to 171.66)","4.55 (1.09 to  18.99)","2.70 (1.49 to   4.91)","3.06 (0.12 to  76.02)","2.11 (0.60 to   7.41)","1.63 (0.53 to   5.01)","1.45 (0.48 to   4.37)","1.42 (0.88 to   2.30)","Erlotinib"
